city,area,floor,bedrooms,price
Stockholm,81.19,10,2,186193.03
Warsaw,58.61,2,2,255762.32
Madrid,95.07,6,4,248608.05
Warsaw,98.1,1,3,245603.16
Vienna,141.25,10,5,295749.25
Helsinki,137.28,10,5,305955.94
Monaco,101.76,10,3,292336.13
London,99.58,8,3,290898.08
Rome,147.72,0,5,347245.4
Moscow,148.94,7,5,416287.3
Sofia,132.86,1,5,261455.19
Vienna,140.53,9,5,265004.45
Madrid,45.14,0,1,141116.67
Oslo,46.37,7,1,161483.53
Helsinki,43.28,5,2,157485.1
Lisbon,55.69,10,2,176175.32
Amsterdam,119.92,1,4,299044.5
Prague,47.77,3,1,285167.79
Lisbon,83.69,3,3,356653.3
Belgrade,72.78,4,2,312604.66
Monaco,87.19,3,4,213127.24
Amsterdam,66.02,9,3,213683.63
Helsinki,68.24,2,2,279920.48
Bratislava,87.33,8,3,234869.67
Sofia,40.4,3,1,217020.72
Amsterdam,77.69,5,2,290172.15
Bratislava,114.57,5,3,435795.64
Sofia,133.14,0,5,261713.3
Stockholm,101.4,4,3,427583.52
Bratislava,104.64,9,3,241660.85
London,92.8,8,3,264656.32
Warsaw,103.69,7,3,319105.98
Helsinki,114.46,6,3,309328.15
Belgrade,143.17,9,5,310514.25
Berlin,70.52,8,3,225836.77
Madrid,111.55,7,3,468091.69
Stockholm,132.39,8,5,209533.65
Bucharest,132.09,4,5,387235.04
Rome,111.2,9,3,329596.8
Oslo,144.92,5,5,346358.8
Monaco,145.3,9,5,285594.42
Vienna,62.9,9,3,130265.9
Madrid,124.82,2,5,389513.29
Paris,75.77,7,3,318234.0
Sofia,124.15,1,5,286513.37
Oslo,88.39,10,3,180116.72
Belgrade,118.47,7,4,295434.56
Amsterdam,46.94,9,1,136276.21
Bratislava,120.52,2,5,394317.34
